guid,episode,title,event_date,youtube_video_id,source_folder,knowledge_readme,claims_file,transcript_path,claim_count
aitw-001,1,Large Scale Classification,2025-03-31T18:00:00Z,6B7MzraQMZk,2025-03-31-large-scale-classification,knowledge/episodes/aitw-001/README.md,knowledge/episodes/aitw-001/claims.jsonl,knowledge/episodes/aitw-001/transcripts/stitched.txt,7
aitw-003,3,Code Generation with Small Models,2025-04-15T18:00:00Z,KJkvYdGEnAY,2025-04-15-code-generation-small-models,knowledge/episodes/aitw-003/README.md,knowledge/episodes/aitw-003/claims.jsonl,knowledge/episodes/aitw-003/transcripts/stitched.txt,7
aitw-004,4,Twelve Factor Agents,2025-04-22T18:00:00Z,yxJDyQ8v6P0,2025-04-22-twelve-factor-agents,knowledge/episodes/aitw-004/README.md,knowledge/episodes/aitw-004/claims.jsonl,knowledge/episodes/aitw-004/transcripts/stitched.txt,6
aitw-005,5,Designing Evals,2025-05-13T18:00:00Z,-N6MajRfqYw,2025-05-13-designing-evals,knowledge/episodes/aitw-005/README.md,knowledge/episodes/aitw-005/claims.jsonl,knowledge/episodes/aitw-005/transcripts/stitched.txt,7
aitw-006,6,Policy to Prompt: Evaluating with the Enron Emails Dataset,2025-05-20T18:00:00Z,gkekVC67iVs,2025-05-20-policies-to-prompts,knowledge/episodes/aitw-006/README.md,knowledge/episodes/aitw-006/claims.jsonl,knowledge/episodes/aitw-006/transcripts/stitched.txt,7
aitw-007,7,12-factor agents: selecting from thousands of MCP tools,2025-05-27T18:00:00Z,P5wRLKF4bt8,2025-05-27-mcp-with-10000-tools,knowledge/episodes/aitw-007/README.md,knowledge/episodes/aitw-007/claims.jsonl,knowledge/episodes/aitw-007/transcripts/stitched.txt,7
aitw-008,8,Humans as Tools: Async Agents and Durable Execution,2025-06-03T18:00:00Z,NMhH5_ju3-I,2025-06-03-humans-as-tools-async,knowledge/episodes/aitw-008/README.md,knowledge/episodes/aitw-008/claims.jsonl,knowledge/episodes/aitw-008/transcripts/stitched.txt,7
aitw-009,5,Cracking the Prompting Interview,2025-06-10T18:00:00Z,PU2h0V-pANQ,2025-06-10-cracking-the-prompting-interview,knowledge/episodes/aitw-009/README.md,knowledge/episodes/aitw-009/claims.jsonl,knowledge/episodes/aitw-009/transcripts/stitched.txt,5
aitw-010,6,"Entity Resolution: Extraction, Deduping, and Enriching",2025-06-17T18:00:00Z,niR896pQWOQ,2025-06-17-entity-extraction,knowledge/episodes/aitw-010/README.md,knowledge/episodes/aitw-010/claims.jsonl,knowledge/episodes/aitw-010/transcripts/stitched.txt,6
aitw-011,7,Building an AI Content Pipeline,2025-06-24T18:00:00Z,Xece-W7Xf48,2025-06-24-ai-content-pipeline,knowledge/episodes/aitw-011/README.md,knowledge/episodes/aitw-011/claims.jsonl,knowledge/episodes/aitw-011/transcripts/stitched.txt,5
aitw-012,8,Boosting AI Output Quality,2025-07-01T18:00:00Z,HsElHU44xJ0,2025-07-01-ai-content-pipeline-2,knowledge/episodes/aitw-012/README.md,knowledge/episodes/aitw-012/claims.jsonl,knowledge/episodes/aitw-012/transcripts/stitched.txt,5
aitw-013,9,Building AI with Memory & Context,2025-07-08T18:00:00Z,-doV02eh8XI,2025-07-08-context-engineering,knowledge/episodes/aitw-013/README.md,knowledge/episodes/aitw-013/claims.jsonl,knowledge/episodes/aitw-013/transcripts/stitched.txt,6
aitw-014,10,Implementing Decaying-Resolution Memory,2025-07-15T18:00:00Z,CEGSDlCtI8U,2025-07-15-decaying-resolution-memory,knowledge/episodes/aitw-014/README.md,knowledge/episodes/aitw-014/claims.jsonl,knowledge/episodes/aitw-014/transcripts/stitched.txt,6
aitw-015,11,"PDFs, Multimodality, Vision Models",2025-07-22T18:00:00Z,sCScFZB4Am8,2025-07-22-multimodality,knowledge/episodes/aitw-015/README.md,knowledge/episodes/aitw-015/claims.jsonl,knowledge/episodes/aitw-015/transcripts/stitched.txt,5
aitw-016,12,Evaluating Prompts Across Models,2025-07-29T18:00:00Z,OawyQOrlubM,2025-07-29-eval-many-models-same-prompt,knowledge/episodes/aitw-016/README.md,knowledge/episodes/aitw-016/claims.jsonl,knowledge/episodes/aitw-016/transcripts/stitched.txt,6
aitw-017,13,Context Engineering for Coding Agents,2025-08-05T18:00:00Z,42AzKZRNhsk,2025-08-05-advanced-context-engineering-for-coding-agents,knowledge/episodes/aitw-017/README.md,knowledge/episodes/aitw-017/claims.jsonl,knowledge/episodes/aitw-017/transcripts/stitched.txt,6
aitw-018,14,Decoding Context Engineering Lessons from Manus,2025-08-12T18:00:00Z,OaUOHEHtlOU,2025-08-12-manus-context-engineering,knowledge/episodes/aitw-018/README.md,knowledge/episodes/aitw-018/claims.jsonl,knowledge/episodes/aitw-018/transcripts/stitched.txt,6
aitw-019,15,Interruptible Agents,2025-08-19T18:00:00Z,2ivXNdHJpxk,2025-08-19-interruptible-agents,knowledge/episodes/aitw-019/README.md,knowledge/episodes/aitw-019/claims.jsonl,knowledge/episodes/aitw-019/transcripts/stitched.txt,6
aitw-020,16,Claude for Non-Code Tasks,2025-08-26T18:00:00Z,NJcph4j9sNg,2025-08-26-claude-for-non-code-workflows,knowledge/episodes/aitw-020/README.md,knowledge/episodes/aitw-020/claims.jsonl,knowledge/episodes/aitw-020/transcripts/stitched.txt,6
aitw-021,21,Voice Agents and Supervisor Threading,2025-09-02T18:00:00Z,UCqD_KUyUJA,2025-09-02-voice-agent-supervisor-threading,knowledge/episodes/aitw-021/README.md,knowledge/episodes/aitw-021/claims.jsonl,knowledge/episodes/aitw-021/transcripts/stitched.txt,6
aitw-022,22,Generative UIs and Structured Streaming,2025-09-09T18:00:00Z,RX8D5oJrV9k,2025-09-09-generative-uis,knowledge/episodes/aitw-022/README.md,knowledge/episodes/aitw-022/claims.jsonl,knowledge/episodes/aitw-022/transcripts/stitched.txt,6
aitw-023,23,Bash vs. MCP: Token Efficient Coding Agent Tooling,2025-09-16T18:00:00Z,RtXpXIY4sLk,2025-09-16-coding-agent-tools-bash-vs-mcp,knowledge/episodes/aitw-023/README.md,knowledge/episodes/aitw-023/claims.jsonl,knowledge/episodes/aitw-023/transcripts/stitched.txt,6
aitw-024,24,Evals for Classification,2025-09-23T18:00:00Z,5Fy0hBzyduU,2025-09-23-evals-for-classification,knowledge/episodes/aitw-024/README.md,knowledge/episodes/aitw-024/claims.jsonl,knowledge/episodes/aitw-024/transcripts/stitched.txt,6
aitw-025,25,Dynamic Schemas,2025-09-30T18:00:00Z,bak7-C--azc,2025-09-30-dyanmic-schemas,knowledge/episodes/aitw-025/README.md,knowledge/episodes/aitw-025/claims.jsonl,knowledge/episodes/aitw-025/transcripts/stitched.txt,5
aitw-026,26,Anthropic Post Mortem,2025-10-07T18:00:00Z,bLx-UlRTiEw,2025-10-07-anthropic-post-mortem,knowledge/episodes/aitw-026/README.md,knowledge/episodes/aitw-026/claims.jsonl,knowledge/episodes/aitw-026/transcripts/stitched.txt,6
aitw-027,27,No Vibes Allowed - Live Coding with AI Agents,2025-10-14T17:00:00Z,zNZs19fIDHk,2025-10-14-no-vibes-allowed,knowledge/episodes/aitw-027/README.md,knowledge/episodes/aitw-027/claims.jsonl,knowledge/episodes/aitw-027/transcripts/stitched.txt,6
aitw-028,28,Agentic RAG + Context Engineering,2025-10-21T18:00:00Z,grGSFfyejA0,2025-10-21-agentic-rag-context-engineering,knowledge/episodes/aitw-028/README.md,knowledge/episodes/aitw-028/claims.jsonl,knowledge/episodes/aitw-028/transcripts/stitched.txt,8
aitw-029,29,Ralph Wiggum under the hood: Coding Agent Power Tools,2025-10-28T18:00:00Z,fOPvAPdqgPo,2025-10-28-ralph-wiggum-coding-agent-power-tools,knowledge/episodes/aitw-029/README.md,knowledge/episodes/aitw-029/claims.jsonl,knowledge/episodes/aitw-029/transcripts/stitched.txt,8
