guid,episode,title,source_folder,event_date,youtube_video_id,transcript_path,transcript_origin,transcript_sha256,has_timestamps,transcript_bytes,source_commit,source_updated_at
aitw-001,1,S01E01 – Large Scale Classification,2025-03-31-large-scale-classification,2025-03-31T18:00:00Z,6B7MzraQMZk,knowledge/episodes/aitw-001/transcripts/stitched.txt,youtube_captions,4256e9edfab99c86c4bd191d19f35950de9b3d430fab00dc8976b17c6f4b270e,True,92640,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-002,2,S01E02 – Reasoning Models vs Reasoning Prompts,2025-04-07-reasoning-models-vs-prompts,2025-04-08T18:00:00Z,D-pcKduKdYM,,,,False,0,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-003,3,S01E03 – Code Generation with Small Models,2025-04-15-code-generation-small-models,2025-04-15T18:00:00Z,KJkvYdGEnAY,knowledge/episodes/aitw-003/transcripts/stitched.txt,youtube_captions,de210f7f0083f1d7e94594fb1650f07aa89993d6e133dc0a71d76e158a19edd0,True,79537,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-004,4,S01E04 – Twelve Factor Agents,2025-04-22-twelve-factor-agents,2025-04-22T18:00:00Z,yxJDyQ8v6P0,knowledge/episodes/aitw-004/transcripts/stitched.txt,youtube_captions,f2da7c4c95fb2b8b9a47170067f5ebeb85b380357f48eb1a8fb15c582f2c683d,True,126845,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-workshop-nyc,,Workshop NYC – Twelve Factor Agents,2025-05-10-workshop-nyc-twelve-factor-agents,2025-05-10T14:30:00Z,,,,,False,0,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-005,1,S02E01 – Designing Evals,2025-05-13-designing-evals,2025-05-13T18:00:00Z,-N6MajRfqYw,knowledge/episodes/aitw-005/transcripts/stitched.txt,youtube_captions,99635eef5d41cbe7c6ad966d9e072ec85b3eb2a3ed725ee7d27fa0ca6488ecc2,True,122958,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-workshop-sf,,Workshop SF – Twelve Factor Agents,2025-05-17-workshop-sf-twelve-factor-agents,2025-05-17T14:30:00Z,,,,,False,0,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-006,2,S02E02 – Policy to Prompt: Evaluating w/ the Enron Emails Dataset,2025-05-20-policies-to-prompts,2025-05-20T18:00:00Z,gkekVC67iVs,knowledge/episodes/aitw-006/transcripts/stitched.txt,youtube_captions,d034ef1e56238a4cb2ec37190d133ac65af9bfd9fc0438bb02bd48b35f21b70f,True,89492,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-007,3,S02E03 – 12-factor agents: selecting from thousands of MCP tools,2025-05-27-mcp-with-10000-tools,2025-05-27T18:00:00Z,P5wRLKF4bt8,knowledge/episodes/aitw-007/transcripts/stitched.txt,youtube_captions,bcae2ebac915695014f58ba07e76c2614272d5a77f0cf5985b22d061be43355d,True,101211,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-008,4,S02E04 – Humans as Tools: Async Agents and Durable Execution,2025-06-03-humans-as-tools-async,2025-06-03T18:00:00Z,NMhH5_ju3-I,knowledge/episodes/aitw-008/transcripts/stitched.txt,youtube_captions,b672ce1c50786dc38585e0ab0ff68d2a1283d27df6bd15c3ce964d4db081be7d,True,101795,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-009,5,S02E05 – Cracking the Prompting Interview,2025-06-10-cracking-the-prompting-interview,2025-06-10T18:00:00Z,PU2h0V-pANQ,knowledge/episodes/aitw-009/transcripts/stitched.txt,youtube_captions,d16a69e3bcdcd448062d12d868dcb9e3a5fe55099ecedca26aa13c70ea7bda82,True,104554,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-010,6,"S02E06 – Entity Resolution: Extraction, Deduping, and Enriching",2025-06-17-entity-extraction,2025-06-17T18:00:00Z,niR896pQWOQ,knowledge/episodes/aitw-010/transcripts/stitched.txt,youtube_captions,5cd5901d9fcb0cfe00feebb291c89b791064fe2081d9c317f5a14c9705879598,True,85431,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-011,7,S02E07 – Building an AI Content Pipeline,2025-06-24-ai-content-pipeline,2025-06-24T18:00:00Z,Xece-W7Xf48,knowledge/episodes/aitw-011/transcripts/stitched.txt,youtube_captions,8bf0a4ce0fa26d2e0685edc6da6988c5081928e737acba0764da9047da811a6d,True,123465,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-012,8,S02E08 – Boosting AI Output Quality,2025-07-01-ai-content-pipeline-2,2025-07-01T18:00:00Z,HsElHU44xJ0,knowledge/episodes/aitw-012/transcripts/stitched.txt,youtube_captions,373781025ba60678f999135d4bf3b20f6324fd1b6df34583cac710d4dc4a51c0,True,104000,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
aitw-013,9,S02E09 – Building AI with Memory & Context,2025-07-08-context-engineering,2025-07-08T18:00:00Z,-doV02eh8XI,knowledge/episodes/aitw-013/transcripts/stitched.txt,youtube_captions,861c793070dc44d5db95f7331539961905cf7d5d8cb045178506b62120c3150d,True,132047,6a79bc809e5e460f15b20a60bc8a01b50c78a291,2026-07-06T14:40:22-05:00
